data;codigo_reservatorio;reservatorio;cota_m;afluencia_m3_s;defluencia_m3_s;vazao_vertida_m3_s;vazao_turbinada_m3_s;vazao_natural_m3_s;volume_util_percentual;vazao_incremental_m3_s
2000-01-01;29001;Jaguari-Jacareí;837,32;45,10;2,00;NA;NA;NA;62,94;NA
2000-01-02;29001;Jaguari-Jacareí;837,35;45,29;2,00;NA;NA;NA;63,09;NA
2000-01-03;29001;Jaguari-Jacareí;837,43;52,87;2,00;NA;NA;NA;63,50;NA
2000-01-04;29001;Jaguari-Jacareí;837,65;111,27;2,00;NA;NA;NA;64,61;NA
2000-01-05;29001;Jaguari-Jacareí;837,96;153,51;2,00;NA;NA;NA;66,19;NA
2000-01-06;29001;Jaguari-Jacareí;837,96;2,90;1,00;NA;NA;NA;66,19;NA
2000-01-07;29001;Jaguari-Jacareí;838,57;298,20;1,00;NA;NA;NA;69,35;NA
2000-01-08;29001;Jaguari-Jacareí;838,71;72,88;1,83;NA;NA;NA;70,08;NA
2000-01-09;29001;Jaguari-Jacareí;838,81;54,55;2,00;NA;NA;NA;70,60;NA
2000-01-10;29001;Jaguari-Jacareí;838,86;35,68;2,00;NA;NA;NA;70,86;NA
2000-01-11;29001;Jaguari-Jacareí;838,90;43,01;2,00;NA;NA;NA;71,08;NA
2000-01-12;29001;Jaguari-Jacareí;838,88;21,54;2,00;NA;NA;NA;70,97;NA
2000-01-13;29001;Jaguari-Jacareí;838,88;31,80;2,00;NA;NA;NA;70,97;NA
2000-01-14;29001;Jaguari-Jacareí;838,91;46,96;2,00;NA;NA;NA;71,13;NA
2000-01-15;29001;Jaguari-Jacareí;838,92;37,23;2,00;NA;NA;NA;71,18;NA
2000-01-16;29001;Jaguari-Jacareí;838,91;27,37;2,00;NA;NA;NA;71,13;NA
2000-01-17;29001;Jaguari-Jacareí;838,90;27,30;2,00;NA;NA;NA;71,08;NA
2000-01-18;29001;Jaguari-Jacareí;838,90;32,00;2,00;NA;NA;NA;71,08;NA
2000-01-19;29001;Jaguari-Jacareí;838,87;12,61;2,00;NA;NA;NA;70,92;NA
2000-01-20;29001;Jaguari-Jacareí;838,87;25,00;2,00;NA;NA;NA;70,92;NA
2000-01-21;29001;Jaguari-Jacareí;838,82;7,11;2,00;NA;NA;NA;70,65;NA
2000-01-22;29001;Jaguari-Jacareí;838,79;16,45;2,00;NA;NA;NA;70,50;NA
2000-01-23;29001;Jaguari-Jacareí;838,76;15,99;2,00;NA;NA;NA;70,34;NA
2000-01-24;29001;Jaguari-Jacareí;838,74;20,38;2,00;NA;NA;NA;70,23;NA
2000-01-25;29001;Jaguari-Jacareí;838,72;19,59;2,00;NA;NA;NA;70,13;NA
