sistema;codigo;reservatorio;res_latitude;res_longitude;municipio;codigo_municipio_ibge;estado_nome;estado_sigla;rio;sub_bacia;bacia
nordeste_semiarido;12001;25 DE MARÇO;-6,11089600000000;-38,2165970000000;PAU DOS FERROS;2409407;Rio Grande do Norte;RN;RIACHO CAJAZEIRAS;APODI/MOSSORÓ;APODI/MOSSORÓ
nordeste_semiarido;12002;ABÓBORAS;-8,08702400000000;-39,4292670000000;PARNAMIRIM;2610400;Pernambuco;PE;RIO SÃO DOMINGOS;TERRA NOVA;TERRA NOVA
nordeste_semiarido;12003;ACARAPE DO MEIO;-4,19347800000000;-38,7993040000000;REDENÇÃO;2311603;Ceará;CE;RIO PACOTI;METROPOLITANA;METROPOLITANA
nordeste_semiarido;12004;ACARAÚ MIRIM;-3,50603200000000;-40,2786110000000;MASSAPÊ;2308005;Ceará;CE;RIO ACARAÚ MIRIM;ACARAÚ;ACARAÚ
nordeste_semiarido;12005;ACAUÃ;-7,44169400000000;-35,5610310000000;ITATUBA;2507200;Paraíba;PB;RIO PARAÍBA;ALTO PARAÍBA;ALTO PARAÍBA
nordeste_semiarido;12006;ADAUTO BEZERRA;-6,03772100000000;-38,4471330000000;PEREIRO;2310803;Ceará;CE;RIO SÃO CAETANO;MÉDIO JAGUARIBE;MÉDIO JAGUARIBE
nordeste_semiarido;12007;ADUSTINA;-10,56941000000000;-38,0715540000000;ADUSTINA;2900355;Bahia;BA;RIO DO POÇO;VAZA-BARRIS;VAZA-BARRIS
nordeste_semiarido;12008;ÁGUA FRIA II;-14,91196700000000;-40,5711290000000;BARRA DO CHOÇA;2902906;Bahia;BA;SEM RIO - ÁGUA FRIA;RIO PARDO;RIO PARDO
nordeste_semiarido;12009;AIPIM;-10,59706700000000;-40,3432970000000;ANTONIO GONÇALVES;2901809;Bahia;BA;RIO AIPIM;ITAPICURU;ITAPICURU
nordeste_semiarido;12010;ALAGADIÇO;-10,51916300000000;-37,5771090000000;FREI PAULO;2802304;Sergipe;SE;RIACHO CAMPINAS;VAZA BARRIS;VAZA BARRIS
